Spanish,English
que,that
de,of
no,do not
a,to
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
con,with
para,to
mi,me
está,is
si,Yes
bien,good
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,you
aquí,here
del,of the
al,to the
como,What
le,you
más,more
esto,this
ya,already
todo,everything
esta,is
vamos,go
muy,very
hay,there is
ahora,now
algo,something
estoy,am
tengo,have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,East
sé,he
estás,are
así,So
puedo,may l
cómo,What
quiero,I want
sólo,single
soy,am
tiene,has
gracias,Thank you
o,or
él,he
bueno,good
fue,It was
ser,to be
hacer,do
son,are
todos,everybody
era,it was
eres,are
vez,time
tienes,you have
creo,believe
ella,she
he,I
ese,that
voy,go
puede,may
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Mr
tiempo,weather
verdad,truth
estaba,I was
mejor,best
están,is it so
va,he
hombre,men
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,have
puedes,you can
ahí,there
ti,you
vida,life
ver,watch
alguien,somebody
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,about
decir,tell
uno,one
siempre,forever
oh,oh
ir,go
cosas,stuff
también,too
antes,before
has,you
ni,neither
mis,my
día,day
estar,be
estamos,we're
noche,night
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little bit
padre,dad
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,talk
seguro,sure
claro,Sure
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,outside
cosa,thing
tipo,type
mañana,morning
podemos,we can
dije,I said
gran,big
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,dad
tener,have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
