Spanish,English
así,like that / that way
Es así,It is like that.
No es así,It is not like that.
No es posible así,It is not possible that way.
No es aceptable para mí así,"It is not acceptable for
me that way."
¿Por qué no es aceptable para,Why isn’t it acceptable for
usted así?,you that way?
posible,possible
probable,probable
es,it is
Es posible,It is possible.
Es probable,It is probable.
Es terrible,It is terrible.
Es aceptable,It is acceptable.
para mí,for me
para usted,for you
Es para mí,It is for me.
No es,It is not.
No es para usted,It is not for you.
No es para usted; es para mí,It is not for you; it is for me.
No es posible para mí,It is not possible for me.
Es posible para usted,It is possible for you.
Es aceptable para mí,It is acceptable for me.
Es aceptable para usted,It is acceptable for you.
¿Es aceptable para usted?,Is it acceptable for you?
¿No es aceptable para usted?,Isn’t it acceptable for you?
¿por qué?,why
¿Por qué no es aceptable,Why isn’t it acceptable
para usted?,for you?
lo siento,I’m sorry (I feel it)
"Lo siento, pero…",I’m sorry but…
"Lo siento, pero no es aceptable",I’m sorry but it is not
para mí así,acceptable for me that way.
"Lo siento, pero no es posible así","I’m sorry but it is not
possible that way."
diferente,different
importante,important
Es importante para mí,It is important for me.
No es diferente así,It is not different that way.
Es muy bueno,It is very good.
No es muy bueno,It is not very good.
No es muy diferente así,It is not very different that way.
Pero es muy importante para mí,But it is very important for me.
no tengo,I don’t have
Lo tengo,I have it.
No lo tengo,I don’t have it.
quiero,I want
Lo quiero,I want it.
No lo quiero así,I don’t want it that way.
necesito,I need
Lo necesito,I need it.
No lo necesito,I don’t need it.
ahora,now
constante,constant
evidente,evident
urgente,urgent
Es muy urgente,It is very urgent.
Lo necesito ahora; es muy urgente,I need it now; it is very urgent.
"tiene, Usted tiene",you have
¿Qué?,What?
¿Qué tiene?,What do you have?
¿Qué tiene para mí ahora?,What do you have for
Lo tiene,You have it.
¿Lo tiene?,Do you have it?
No lo tiene,You don’t have it.
¿No lo tiene?,Don’t you have it?
¿No lo tiene para mí ahora?,Don’t you have it for me now?
"¿Por qué no lo tiene para mí ahora,",Why don’t you have it for me
porque lo necesito ahora?,"now, because I need it now?"
porque,because
quiero,I want
No lo quiero,I don’t want it.
quiere,you want
¿Qué quiere?,What do you want?
Lo quiere,You want it.
¿Lo quiere?,Do you want it?
¿Por qué no lo quiere así?,"Why don’t you want it
that way?"
saber,to know
Quiero saber,I want to know.
No quiero saber,I don’t want to know.
Quiero saber por qué no lo tiene,I want to know why you
para mí ahora,don’t have it for me now.
puedo,I can
puede,you can
hacer,to do / to make
hacer así,to do like that
comer,to eat
algo,something
Quiero algo,I want something.
Tengo algo para usted,I have something for you.
Quiero comer,I want to eat.
Quiero comer algo ahora,I want to eat something now.
Tengo hambre,I am hungry.
Quiero comer algo ahora porque,I want to eat something now
tengo hambre,because I’m hungry.
¿Qué quiere comer?,What do you want to eat?
Tiene hambre,You are hungry.
¿Tiene hambre?,Are you hungry?
¿Tiene hambre? ¿Quiere comer,Are you hungry? Do you
algo ahora?,want to eat something now?
¿Por qué no quiere comer?,Why don’t you want to eat?
necesario,necessary
No es necesario para mí ahora,It is not necessary for me
porque no lo necesito,now because I don’t need it.
"Lo siento, pero no lo tengo",I’m sorry but I don’t have it
y no lo quiero porque no,and I don’t want it because
lo necesito ahora,I don’t need it now.
y,and
contrario,contrary
al contrario,on the contrary
vocabulario,vocabulary
verlo,to see it
Quiero verlo,I want to see it.
No quiero verlo,I don’t want to see it.
¿Quiere verlo?,Do you want to see it?
¿Por qué no quiere verlo?,Why don’t you want to see it?
puedo,I can
puede,you can
No puedo verlo,I cannot see it.
¿Puede verlo?,Can you see it?
Puede verlo,You can see it.
¿Qué puede ver?,What can you see?
¿Por qué no puede verlo?,Why can’t you see it?
hacer,to do / to make
hacerlo,to do it
No quiero hacerlo así,I don’t want to do it that way.
Porque no puedo hacerlo,Because I cannot do it.
¿Por qué no puede hacerlo?,Why can’t you do it?
Quiero saber por qué no puede,I want to know why you
hacerlo así,can’t do it that way.
diferencia,difference
importancia,importance
influencia,influence
preferencia,preference
la diferencia,the difference
una diferencia,a difference
¿Qué diferencia?,What difference?
la preferencia,the preference
una preferencia,a preference
¿Qué preferencia?,What preference?
¿Tiene una preferencia?,Do you have a preference?
¿Que preferencia tiene?,What preference do you have?
¿Para qué restaurante tiene,For what restaurant do you
una preferencia?,have a preference?
esta noche,tonight
Es para esta noche,It is for tonight.
¿Para que restaurante tiene una,For what restaurant do you
preferencia esta noche?,have a preference tonight?
¿Dónde?,Where?
¿Dónde quiere comer?,Where do you want to eat?
la cena,the dinner
cenar,to dine
¿Dónde quiere cenar esta noche?,Where do you want to have
condición,condition
posición,position
reservación,reservation
la reservación,the reservation
una reservación,a reservation
¿Tiene una reservación para mí,Do you have a reservation
para esta noche?,for me for tonight?
la condición,the condition
una condición,a condition
¿Qué condición?,What condition?
¿Qué reservación?,What reservation?
de,of
la confirmación de la,the confirmation of the
reservación,reservation
¿Tiene la confirmación de la,Do you have the confirmation
reservación para mí para,of the reservation for me
esta noche?,for tonight?
tipo,kind / type
¿Qué tipo de reservación tiene,What type (kind) of
para mí para esta noche?,reservation do you have
¿Qué tipo de reservación quiere?,"What kind of reservation
do you want?"
traducción,translation
Necesito una traducción,I need a translation.
¿Puede hacer una traducción,Can you make a translation
para mí?,for me?
Puede hacer una traducción,Will you make a translation
para mí,for me.
por favor,please
Puede hacerlo para mí por favor,Will you please do it for me.
¿Puede hacerlo para mí hoy?,Can you do it for me today?
hoy,today
explicación,explanation
dar,to give
Puede dar una explicación,Will you give an explanation.
¿Puede dar una explicación?,Can you give an explanation?
formación,formation
formar,to form
conformar,to conform
confirmar,to confirm
hablar,to speak
comer,to eat
venir,to come
salir,to leave
?,last syllable.
?,"last syllable. [See also the ‘NOSE’ rule, 4:13 and 4:53 below.]"
?,"penultimate syllable: tengo, quiero, necesito, importante, restaurante."
?,"in a consonant are stressed on the last syllable: -n and -s.
Words ending in -n and -s are stressed on the penultimate
syllable, the same as for vowels."
?,consonant are stressed on the last syllable.
?,"condición, posición, situación, impresión."
Mérida,Merida
México,Mexico
situación,situation
impresión,impression
¿Que impresión tiene de,What impression do you
la situación?,have of the situation?
aquí,here
Puede hacer una reservación,Will you make a reservation
para mí,for me.
¿Puede hacer una reservación,Can you make a reservation
para mí?,for me?
¿Por qué no puede hacer una,Why can you not (can’t you)
reservación para mí?,make a reservation for me?
ver,to see
saber,to know
Quiero saberlo,I want to know it.
Quiero verlo,I want to see it.
verlo,to see it
verle,to see you
verlos,to see them
verlas,to see them (feminine)
Quiero verlos,I want to see them.
Quiero verlas,I want to see them.
Quiero verle,I want to see you.
verme,to see me
comprender,to understand
comprenderlo,to understand it
comprenderle,to understand you
comprenderlos,to understand them
comprenderlas,to understand them
comprenderme,to understand me
¿Puede comprenderme?,Can you understand me?
¿Por qué no puede comprenderme?,Why can’t you understand me?
decir,to say / to tell
decirlo,to tell it
decirle,to tell you
decirme,to tell me
Puede decirme,Will you tell me.
¿Por qué no puede decirme ahora?,Why can’t you tell me now?
caro,expensive
Es muy caro,It is very expensive.
¿Lo tiene?,Do you have it?
¿Por qué no lo tiene para mí?,Why don’t you have it for me?
tener,to have
Quiero tenerlo porque,I want to have it because
lo necesito,I need it.
tengo que,I have to / I must
