Unnamed: 0,Spanish,English
0,que,that
1,de,of
2,no,do not
3,a,to
4,la,the
5,el,the
6,es,it is
7,y,Y
9,lo,it
10,un,a
11,por,by
12,qué,that
13,me,I
14,una,a
15,te,tea
16,los,the
17,se,I know
18,con,with
19,para,to
20,mi,me
21,está,is
22,si,Yes
23,bien,good
24,pero,but
25,yo,me
26,eso,that
27,las,the
29,su,its
30,tu,you
31,aquí,here
32,del,of the
33,al,to the
34,como,What
35,le,you
36,más,more
37,esto,this
38,ya,already
39,todo,everything
40,esta,is
41,vamos,go
42,muy,very
43,hay,there is
44,ahora,now
45,algo,something
46,estoy,am
47,tengo,have
48,nos,us
49,tú,your
50,nada,any
51,cuando,when
52,ha,he has
53,este,East
54,sé,he
55,estás,are
56,así,So
57,puedo,may l
58,cómo,What
59,quiero,I want
60,sólo,single
61,soy,am
62,tiene,has
63,gracias,Thank you
64,o,or
65,él,he
66,bueno,good
67,fue,It was
68,ser,to be
69,hacer,do
70,son,are
71,todos,everybody
73,eres,are
74,vez,time
75,tienes,you have
76,creo,believe
78,he,I
79,ese,that
80,voy,go
81,puede,may
82,sabes,you know
83,hola,Hello
84,sus,their
85,porque,why
86,dios,God
87,quién,who
88,nunca,never
89,dónde,where
91,casa,home
92,favor,favor
93,esa,that
94,dos,two
95,tan,so
96,señor,Mr
97,tiempo,weather
98,verdad,truth
99,estaba,I was
100,mejor,best
101,están,is it so
102,va,he
103,hombre,men
104,usted,you
105,mucho,much
106,hace,does
107,entonces,then
108,siento,I feel
109,tenemos,have
110,puedes,you can
111,ahí,there
112,ti,you
113,vida,life
114,ver,watch
115,alguien,somebody
116,sr,Mr
117,hasta,until
118,sin,without
119,mí,my
120,solo,only
121,años,years
122,sobre,about
123,decir,tell
124,uno,one
125,siempre,forever
126,oh,oh
127,ir,go
128,cosas,stuff
129,también,too
130,antes,before
131,has,you
132,ni,neither
133,mis,my
134,día,day
135,estar,be
136,noche,night
137,nadie,nobody
138,otra,other
139,quiere,wants
140,parece,It seems
141,poco,little bit
142,padre,dad
143,trabajo,job
144,gente,people
145,mira,look
146,vas,you go
147,sea,be
148,les,them
149,donde,where
150,mismo,same
151,hecho,done
152,ellos,they
153,dijo,He said
154,pasa,happens
155,dinero,money
156,hijo,child
157,tal,such
158,otro,other
159,hablar,talk
160,seguro,sure
161,claro,Sure
162,estas,are
163,lugar,place
164,mundo,world
165,amigo,friend
166,espera,waiting
167,mierda,shit
168,han,they have
169,tus,your
170,sabe,knows
171,después,after
172,momento,moment
173,desde,from
174,fuera,outside
176,tipo,type
177,mañana,morning
178,podemos,we can
179,dije,I said
180,gran,big
181,necesito,needed
182,estado,condition
183,podría,might
184,acuerdo,agreement
185,papá,dad
186,tener,have
187,dice,He says
188,mío,Own
189,crees,think
190,buena,good
191,gusta,like
192,nuestro,our
193,nuevo,new
194,será,will be
195,haciendo,doing
196,días,days
197,nombre,Name
198,buen,good
199,había,there was
200,ven,come
201,tres,three
202,menos,less
203,debe,should
204,tenía,I had
205,mal,evil
206,conmigo,with me
207,madre,mother
208,hoy,today
209,quien,who
210,sido,been
211,mamá,mother
212,tienen,have
213,luego,soon
214,todas,all
215,allí,there
216,toda,all
217,hora,time
218,mujer,woman
219,visto,viewed
220,haces,you do
221,importa,matters
222,contigo,with you
223,ve,go
224,tarde,afternoon
225,parte,part
226,haber,to have
227,hombres,mens
228,problema,trouble
229,mas,more
230,saber,to know
231,quería,wanted
232,aún,still
233,veces,times
234,nuestra,our
235,hacerlo,do it
236,cada,every
237,hizo,made
238,veo,I see
239,tanto,so much
240,razón,reason
241,ustedes,your
242,idea,idea
243,esos,those
244,van,go
245,quizá,maybe
246,debo,I must
247,alguna,some
248,cierto,TRUE
249,ud,You
250,muerto,dead
251,unos,some
252,estos,these
253,salir,leave
254,policía,policeman
255,realmente,Really
256,demasiado,too
257,familia,family
258,pueden,they can
259,cabeza,head
260,hemos,we have
261,amigos,friends
262,chica,girl
263,cariño,sweetie
265,allá,there
266,entre,Come in
267,minutos,minutes
268,digo,say
269,algún,some
270,serio,I laughed
271,cuidado,watch out
272,pasó,He passed
273,buenas,good
274,somos,are
275,amor,love
276,puerta,door
277,ves,you see
278,vaya,Wow
279,ah,ah
280,suerte,lucky
281,eh,Hey
282,rápido,Quick
283,cuenta,bill
284,quizás,maybe
285,esas,those
286,pues,then
288,pensé,I thought
289,todavía,yet
290,hermano,brother
291,debes,you must
292,casi,almost
293,forma,shape
294,aqui,here
295,chico,guy
297,dicho,saying
298,nueva,new
299,sabía,I knew
300,muchas,many
301,dentro,inside
302,hice,I did
303,contra,against
304,auto,car
305,camino,way
306,ayuda,help
308,hacia,toward
309,vi,saw
310,miedo,afraid
311,adiós,goodbye
312,primero,first
313,debería,it should
314,poder,can
317,historia,history
318,hey,hey
319,mientras,while
320,ciudad,city
321,dijiste,said
322,espero,I hope
323,cuánto,how much
324,esposa,wife
325,pronto,early
326,chicos,Boys
327,cualquier,any
328,viejo,old
329,debemos,we must
331,año,year
332,muerte,death
333,hablando,talking
334,manos,hands
335,da,gives
336,loco,mad
337,problemas,problems
338,mano,hand
339,guerra,war
340,pasar,pass
341,vale,OK
342,cuál,which one
343,viene,comes
344,volver,return
345,toma,taking
346,caso,case
347,agua,Water
348,haré,I will do
349,vete,go away
350,entiendo,I get it
351,horas,hours
352,personas,people
353,capitán,captain
354,adelante,go ahead
355,niño,kid
356,listo,clever
357,noches,nights
358,buenos,good ones
359,iba,I was going
360,juntos,together
361,dame,give to me
362,único,unique
363,déjame,let me
364,cerca,close
365,otros,others
366,sigue,go on
367,grande,big
368,arriba,up
369,jefe,boss
370,habla,speaks
371,supongo,I suppose
372,manera,way
373,quieren,they want
374,feliz,happy
375,significa,it means
376,sangre,blood
377,fin,end
378,bajo,under
379,llama,calls
380,venir,come
381,morir,To die
382,importante,important
383,hiciste,did
384,ojos,eyes
385,escucha,listens
386,entrar,get in
387,ningún,any
388,corazón,heart
389,diablos,Devils
390,necesitamos,need
391,atrás,behind
392,durante,during
393,dices,say
394,nuestros,our
395,persona,person
396,abajo,down
397,dr,dr
398,hija,daughter
399,dejar,let
400,necesita,needs to
401,llegar,to get
402,hago,do
403,señora,Ms
404,haya,is
405,suficiente,enough
406,doctor,doctor
407,gustaría,would like
408,tierra,Earth
409,cara,expensive
410,siquiera,at least
411,genial,brilliant
412,cree,cree
413,supuesto,supposed
414,tomar,drink
415,equipo,team
416,justo,just
417,juego,play
418,ninguna,none
419,matar,kill
420,cinco,five
421,dicen,say
422,amo,love
423,cuándo,when
424,pequeño,little
425,algunos,Some
426,conozco,know
427,clase,class
428,maldito,damned
429,unas,nail
430,muchos,Many
431,hubiera,had
432,segundo,second
433,aunque,even if
434,pueda,can
435,dime,tell me
436,igual,same
437,comida,food
438,ay,Oh
439,cuerpo,body
440,encontrar,meet
441,fuerte,strong
442,vuelta,lap
443,creer,to believe
444,realidad,reality
445,saben,they know
446,deberías,you should
447,pregunta,question
448,fui,I was
449,cuatro,four
450,sra,Ms
451,primer,first
452,trabajar,work
453,e,and
454,hagas,you do
455,alto,tall
456,maldita,damn
457,comer,to eat
458,número,number
459,dar,give
460,necesitas,you need
461,oportunidad,chance
462,punto,point
463,misma,same
464,última,last
465,afuera,outside
466,mujeres,women
467,pensar,to think
468,fueron,They were
469,difícil,hard
470,vivir,to live
471,paso,He passed
472,malo,bad
473,estabas,you were
474,vivo,alive
475,haga,make
476,queda,is left over
477,hijos,sons
478,mayor,higher
479,fiesta,party
480,hacen,make
481,medio,half
482,algunas,some
483,basta,Enough
484,arma,weapon
485,vino,came
486,meses,months
487,cuarto,quarter
488,éste,East
489,escuela,school
490,esté,East
491,dólares,Dollars
492,tío,uncle
493,posible,possible
494,tuve,I had
495,fácil,easy
496,luz,light
497,eran,they were
498,carajo,fuck
499,final,final
500,lista,list
501,trata,about
502,armas,weapons
503,hermana,sister
504,exactamente,exactly
505,chicas,girls
506,podía,I could
507,bastante,pretty
508,seguridad,security
509,pasando,going
510,esperando,waiting
511,acá,here
512,teléfono,telephone
513,perro,dog
514,fuego,fire
515,murió,died
516,tampoco,either
517,sola,alone
518,estuvo,he was
519,verte,to see you
520,iré,I will go
521,tenido,Dyed
522,culpa,fault
523,veras,you'll see
524,adónde,where to
525,buscando,searching
526,cuanto,how much
527,padres,parents
528,paz,peace
529,demonios,demons
530,estará,will be
531,cual,which
532,perdón,sorry
533,asi,So
534,jugar,play
535,pensando,thinking
